policy_id,title,department,category,security_domain,classification,risk_level,owner,effective_date,review_date,word_count,char_count,sha256,filepath,keywords
ADM-AST-001,Asset Protection Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-01-14,2027-01-14,248,2679,f797b2bf8bc7f1fc3d5751331d545208ca8dbb20d2cdc2cb94a4aa476883e573,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-001.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-002,Asset Management Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-05-09,2027-05-09,249,2673,eb86855ee95e8eb1ddcb83bbfe4bca1b55383584f09f26733d3d89b56faa9fed,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-002.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-003,Corporate Asset Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-01-07,2027-01-07,248,2670,4b8f4ad264bc32ea64ebada5fcefb74813c8846370921cf81bb51c4f5f530fc1,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-003.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-004,Asset Protection Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-06-27,2027-06-27,247,2656,e7b8ee4c10316c2ff9c353bf16ed39e2f9caccbd35c1f72afe705bb7cd1a883a,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-004.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-005,Asset Management Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-04-03,2027-04-03,246,2649,453e5affb43d0d160fc7fd882102ed6a55634531a19a6c3d6bbaef2cbaab2aa3,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-005.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-006,Enterprise Asset Standard,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-02-13,2027-02-13,250,2694,a87837e71bffe33de65e791f718ac12960134b1c15953b3567166bf5f7ea99cc,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-006.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-007,IT Asset Lifecycle Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-01-14,2027-01-14,250,2679,78cee46550ef8901c2a3cdd2c67741bd0ce458c2ad3ee1e18e43b5c8a358902b,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-007.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-008,Corporate Asset Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-02-03,2027-02-03,247,2649,c58705a2845727fe660f21b48ee16ed6e6ed63a0a898dfe3c2397976a8e6e8ab,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-008.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-009,Asset Management Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-05-20,2027-05-20,246,2658,0adebdb7fca9f2f424fb3b5d6ffaa016022ac1515241fc303da07c759aa98281,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-009.txt,"asset, device, hardware, inventory, lifecycle"
ADM-AST-010,IT Asset Lifecycle Policy,Administration,Asset_Management,Asset Management,Internal,Medium,Asset Management Team,2026-04-15,2027-04-15,250,2689,42d29b9892451d292393057a82a49ae179a07ddc4d0908996cd779ba70eed1c7,V:\Resume Projects\knowledge-firewall-ai\data\enterprise\Administration\Asset_Management\ADM-AST-010.txt,"asset, device, hardware, inventory, lifecycle"
